time	V(g1)	V(n002)
8.646896323805109e-004	-2.354627e-002	2.614851e-001
8.686896323806259e-004	-2.735506e-002	2.941141e-001
8.716361861647037e-004	-2.919305e-002	3.082343e-001
8.732832276381330e-004	-2.975258e-002	3.114874e-001
8.747918427580714e-004	-2.992465e-002	3.111647e-001
8.764226280817411e-004	-2.976549e-002	3.075016e-001
8.788153018266520e-004	-2.887851e-002	2.958627e-001
8.826896323790301e-004	-2.616232e-002	2.646773e-001
8.866896323791451e-004	-2.191560e-002	2.183457e-001
8.906896323792601e-004	-1.630545e-002	1.583100e-001
8.946896323793752e-004	-9.670771e-003	8.757595e-002
8.986896323794902e-004	-2.428439e-003	1.013687e-002
9.026896323796052e-004	4.966480e-003	-6.929883e-002
9.066896323797202e-004	1.204934e-002	-1.455590e-001
9.106896323798353e-004	1.837509e-002	-2.133774e-001
9.146896323799503e-004	2.354627e-002	-2.678436e-001
9.186896323800653e-004	2.735506e-002	-3.062693e-001
9.216361861641431e-004	2.919305e-002	-3.231016e-001
9.232832276371283e-004	2.975258e-002	-3.269599e-001
9.247918427583990e-004	2.992465e-002	-3.264715e-001
9.264226280816246e-004	2.976549e-002	-3.219153e-001
9.288153018265355e-004	2.887851e-002	-3.077587e-001
9.326896323789136e-004	2.616232e-002	-2.706246e-001
9.366896323790286e-004	2.191560e-002	-2.170300e-001
9.406896323791436e-004	1.630545e-002	-1.500677e-001
9.446896323792586e-004	9.670771e-003	-7.442219e-002
9.486896323793737e-004	2.428439e-003	4.709309e-003
9.526896323794887e-004	-4.966480e-003	8.219992e-002
9.566896323796037e-004	-1.204934e-002	1.533581e-001
9.606896323797187e-004	-1.837509e-002	2.141793e-001
9.646896323798337e-004	-2.354627e-002	2.614836e-001
9.686896323799488e-004	-2.735506e-002	2.941126e-001
9.716361861640266e-004	-2.919305e-002	3.082328e-001
9.732832276374559e-004	-2.975258e-002	3.114859e-001
9.747918427582825e-004	-2.992465e-002	3.111632e-001
9.764226280819521e-004	-2.976549e-002	3.075001e-001
9.788153018268631e-004	-2.887851e-002	2.958612e-001
9.826896323792411e-004	-2.616232e-002	2.646758e-001
9.866896323793561e-004	-2.191560e-002	2.183443e-001
9.906896323794712e-004	-1.630545e-002	1.583086e-001
9.946896323795862e-004	-9.670771e-003	8.757451e-002
9.986896323797012e-004	-2.445802e-003	1.039685e-002
9.999999999998899e-004	-7.839267e-014	-1.580706e-002
