time	V(g1)	V(out)
4.591019466718689e-004	2.110669e-001	-2.230727e+000
4.601019466718689e-004	2.090136e-001	-2.183508e+000
4.611019466718689e-004	2.067540e-001	-2.133553e+000
4.621019466718690e-004	2.042904e-001	-2.080976e+000
4.631019466701210e-004	2.016252e-001	-2.025894e+000
4.641019466701210e-004	1.987609e-001	-1.968427e+000
4.651019466701210e-004	1.957005e-001	-1.908701e+000
4.661019466701211e-004	1.924470e-001	-1.846844e+000
4.671019466701211e-004	1.890036e-001	-1.782988e+000
4.681019466701211e-004	1.853736e-001	-1.717265e+000
4.691019466701211e-004	1.815607e-001	-1.649813e+000
4.701019466701212e-004	1.775687e-001	-1.580769e+000
4.711019466701212e-004	1.734014e-001	-1.510273e+000
4.721019466701212e-004	1.690629e-001	-1.438465e+000
4.731019466701212e-004	1.645576e-001	-1.365486e+000
4.741019466701213e-004	1.598899e-001	-1.291478e+000
4.751019466701213e-004	1.550645e-001	-1.216581e+000
4.761019466701213e-004	1.500860e-001	-1.140936e+000
4.771019466701213e-004	1.449593e-001	-1.064684e+000
4.781019466701213e-004	1.396897e-001	-9.879627e-001
4.791019466701214e-004	1.342821e-001	-9.109091e-001
4.801019466701214e-004	1.287421e-001	-8.336583e-001
4.811019466701214e-004	1.230749e-001	-7.563433e-001
4.821019466701214e-004	1.172864e-001	-6.790943e-001
4.831019466701215e-004	1.113821e-001	-6.020386e-001
4.841019466701215e-004	1.053678e-001	-5.253005e-001
4.851019466701215e-004	9.924959e-002	-4.490007e-001
4.861019466701215e-004	9.303342e-002	-3.732561e-001
4.871019466701216e-004	8.672544e-002	-2.981799e-001
4.881019466694701e-004	8.033186e-002	-2.238807e-001
4.891019466694702e-004	7.385901e-002	-1.504630e-001
4.901019466694702e-004	6.731327e-002	-7.802643e-002
4.911019466694702e-004	6.070110e-002	-6.665899e-003
4.921019466694702e-004	5.402903e-002	6.352872e-002
4.931019466694703e-004	4.730363e-002	1.324727e-001
4.941019466694703e-004	4.053155e-002	2.000867e-001
4.951019466694703e-004	3.371948e-002	2.662965e-001
4.961019466694703e-004	2.687412e-002	3.310337e-001
4.971019466694704e-004	2.000225e-002	3.942354e-001
4.981019466694704e-004	1.311063e-002	4.558443e-001
4.991019466694704e-004	6.206076e-003	5.158086e-001
5.001019466694704e-004	-7.046036e-004	5.740826e-001
5.011019466694705e-004	-7.614587e-003	6.306260e-001
5.021019466694705e-004	-1.451706e-002	6.854042e-001
5.031019466694705e-004	-2.140520e-002	7.383885e-001
5.041019466694705e-004	-2.827222e-002	7.895555e-001
5.051019466694706e-004	-3.511133e-002	8.388878e-001
5.061019466694706e-004	-4.191580e-002	8.863727e-001
5.071019466694706e-004	-4.867890e-002	9.320036e-001
5.081019466694706e-004	-5.539396e-002	9.757788e-001
5.091019466694707e-004	-6.205435e-002	1.017702e+000
5.101019466694707e-004	-6.865351e-002	1.057780e+000
5.111019466694707e-004	-7.518491e-002	1.096028e+000
5.121019466694707e-004	-8.164211e-002	1.132462e+000
5.131019466692277e-004	-8.801874e-002	1.167105e+000
5.141019466692277e-004	-9.430851e-002	1.199983e+000
5.151019466692277e-004	-1.005052e-001	1.231125e+000
5.161019466692278e-004	-1.066027e-001	1.260566e+000
5.171019466692278e-004	-1.125950e-001	1.288343e+000
5.181019466692278e-004	-1.184762e-001	1.314495e+000
5.191019466692278e-004	-1.242405e-001	1.339067e+000
5.201019466692278e-004	-1.298821e-001	1.362104e+000
5.211019466692279e-004	-1.353956e-001	1.383654e+000
5.221019466692279e-004	-1.407755e-001	1.403768e+000
5.231019466692279e-004	-1.460164e-001	1.422497e+000
5.241019466692279e-004	-1.511132e-001	1.439893e+000
5.251019466692280e-004	-1.560609e-001	1.456013e+000
5.261019466692280e-004	-1.608546e-001	1.470911e+000
5.271019466692280e-004	-1.654896e-001	1.484641e+000
5.281019466692280e-004	-1.699612e-001	1.497261e+000
5.291019466692281e-004	-1.742651e-001	1.508825e+000
5.301019466692281e-004	-1.783970e-001	1.519389e+000
5.311019466692281e-004	-1.823528e-001	1.529006e+000
5.321019466692281e-004	-1.861287e-001	1.537730e+000
5.331019466692282e-004	-1.897209e-001	1.545612e+000
5.341019466692282e-004	-1.931259e-001	1.552702e+000
5.351019466692282e-004	-1.963403e-001	1.559048e+000
5.361019466692282e-004	-1.993609e-001	1.564695e+000
5.371019466692283e-004	-2.021848e-001	1.569687e+000
5.381019466691374e-004	-2.048092e-001	1.574065e+000
5.391019466691375e-004	-2.072314e-001	1.577864e+000
5.401019466691375e-004	-2.094491e-001	1.581119e+000
5.411019466691375e-004	-2.114601e-001	1.583861e+000
5.421019466691375e-004	-2.132624e-001	1.586116e+000
5.431019466691376e-004	-2.148543e-001	1.587907e+000
5.441019466691376e-004	-2.162341e-001	1.589253e+000
5.451019466691376e-004	-2.174006e-001	1.590169e+000
5.461019466691376e-004	-2.183524e-001	1.590666e+000
5.471019466691376e-004	-2.190888e-001	1.590749e+000
5.481019466691377e-004	-2.196090e-001	1.590421e+000
5.491019466691377e-004	-2.199125e-001	1.589679e+000
5.501019466691377e-004	-2.199989e-001	1.588515e+000
5.511019466691377e-004	-2.198682e-001	1.586919e+000
5.521019466691378e-004	-2.195205e-001	1.584873e+000
5.531019466691378e-004	-2.189562e-001	1.582357e+000
5.541019466691378e-004	-2.181758e-001	1.579347e+000
5.551019466691378e-004	-2.171801e-001	1.575813e+000
5.561019466691379e-004	-2.159701e-001	1.571722e+000
5.571019466691379e-004	-2.145469e-001	1.567036e+000
5.581019466691379e-004	-2.129120e-001	1.561716e+000
5.591019466691379e-004	-2.110669e-001	1.555715e+000
5.601019466691380e-004	-2.090136e-001	1.548986e+000
5.611019466691380e-004	-2.067540e-001	1.541478e+000
5.621019466691380e-004	-2.042904e-001	1.533137e+000
5.631019466691038e-004	-2.016252e-001	1.523905e+000
5.641019466691038e-004	-1.987609e-001	1.513725e+000
5.651019466691038e-004	-1.957005e-001	1.502536e+000
5.661019466691039e-004	-1.924470e-001	1.490274e+000
5.671019466691039e-004	-1.890036e-001	1.476876e+000
5.681019466691039e-004	-1.853736e-001	1.462278e+000
5.691019466691039e-004	-1.815607e-001	1.446414e+000
5.701019466691039e-004	-1.775687e-001	1.429218e+000
5.711019466691040e-004	-1.734014e-001	1.410628e+000
5.721019466691040e-004	-1.690629e-001	1.390577e+000
5.731019466691040e-004	-1.645576e-001	1.369003e+000
5.741019466691040e-004	-1.598899e-001	1.345844e+000
5.751019466691041e-004	-1.550645e-001	1.321041e+000
5.761019466691041e-004	-1.500860e-001	1.294537e+000
5.771019466691041e-004	-1.449593e-001	1.266277e+000
5.781019466691041e-004	-1.396897e-001	1.236211e+000
5.791019466691042e-004	-1.342821e-001	1.204290e+000
5.801019466691042e-004	-1.287421e-001	1.170472e+000
5.811019466691042e-004	-1.230749e-001	1.134717e+000
5.821019466691042e-004	-1.172864e-001	1.096992e+000
5.831019466691043e-004	-1.113821e-001	1.057267e+000
5.841019466691043e-004	-1.053678e-001	1.015518e+000
5.851019466691043e-004	-9.924959e-002	9.717281e-001
5.861019466691043e-004	-9.303342e-002	9.258852e-001
5.871019466691044e-004	-8.672544e-002	8.779839e-001
5.881019466690913e-004	-8.033186e-002	8.280253e-001
5.891019466690913e-004	-7.385901e-002	7.760174e-001
5.901019466690913e-004	-6.731327e-002	7.219752e-001
5.911019466690913e-004	-6.070110e-002	6.659207e-001
5.921019466690914e-004	-5.402903e-002	6.078833e-001
5.931019466690914e-004	-4.730363e-002	5.478997e-001
5.941019466690914e-004	-4.053155e-002	4.860140e-001
5.951019466690914e-004	-3.371948e-002	4.222776e-001
5.961019466690915e-004	-2.687412e-002	3.567497e-001
5.971019466690915e-004	-2.000225e-002	2.894966e-001
5.981019466690915e-004	-1.311063e-002	2.205919e-001
5.991019466690915e-004	-6.206076e-003	1.501166e-001
6.001019466690916e-004	7.046036e-004	7.815862e-002
6.011019466690916e-004	7.614587e-003	4.812888e-003
6.021019466690916e-004	1.451706e-002	-6.981908e-002
6.031019466690916e-004	2.140520e-002	-1.456293e-001
6.041019466690917e-004	2.827222e-002	-2.225035e-001
6.051019466690917e-004	3.511133e-002	-3.003218e-001
6.061019466690917e-004	4.191580e-002	-3.789584e-001
6.071019466690917e-004	4.867890e-002	-4.582826e-001
6.081019466690918e-004	5.539396e-002	-5.381587e-001
6.091019466690918e-004	6.205435e-002	-6.184466e-001
6.101019466690918e-004	6.865351e-002	-6.990024e-001
6.111019466690918e-004	7.518491e-002	-7.796783e-001
6.121019466690918e-004	8.164211e-002	-8.603238e-001
6.131019466690867e-004	8.801874e-002	-9.407853e-001
6.141019466690867e-004	9.430851e-002	-1.020907e+000
6.151019466690867e-004	1.005052e-001	-1.100533e+000
6.161019466690867e-004	1.066027e-001	-1.179504e+000
6.171019466690868e-004	1.125950e-001	-1.257661e+000
6.181019466690868e-004	1.184762e-001	-1.334845e+000
6.191019466690868e-004	1.242405e-001	-1.410898e+000
6.201019466690868e-004	1.298821e-001	-1.485662e+000
6.211019466690869e-004	1.353956e-001	-1.558981e+000
6.221019466690869e-004	1.407755e-001	-1.630700e+000
6.231019466690869e-004	1.460164e-001	-1.700667e+000
6.241019466690869e-004	1.511132e-001	-1.768734e+000
6.251019466690870e-004	1.560609e-001	-1.834756e+000
6.261019466690870e-004	1.608546e-001	-1.898589e+000
6.271019466690870e-004	1.654896e-001	-1.960098e+000
6.281019466690870e-004	1.699612e-001	-2.019150e+000
6.291019466690871e-004	1.742651e-001	-2.075617e+000
6.301019466690871e-004	1.783970e-001	-2.129377e+000
6.311019466690871e-004	1.823528e-001	-2.180316e+000
6.321019466690871e-004	1.861287e-001	-2.228323e+000
6.331019466690872e-004	1.897209e-001	-2.273294e+000
6.341019466690872e-004	1.931259e-001	-2.315136e+000
6.351019466690872e-004	1.963403e-001	-2.353759e+000
6.361019466690872e-004	1.993609e-001	-2.389081e+000
6.371019466690873e-004	2.021848e-001	-2.421029e+000
6.381019466690850e-004	2.048092e-001	-2.449538e+000
6.391019466690850e-004	2.072314e-001	-2.474550e+000
6.401019466690850e-004	2.094491e-001	-2.496016e+000
6.411019466690851e-004	2.114601e-001	-2.513894e+000
6.421019466690851e-004	2.132624e-001	-2.528151e+000
6.431019466690851e-004	2.148543e-001	-2.538764e+000
6.441019466690851e-004	2.162341e-001	-2.545717e+000
6.451019466690852e-004	2.174006e-001	-2.549003e+000
6.461019466690852e-004	2.183524e-001	-2.548622e+000
6.471019466690852e-004	2.190888e-001	-2.544584e+000
6.481019466690852e-004	2.196090e-001	-2.536906e+000
6.491019466690853e-004	2.199125e-001	-2.525616e+000
6.501019466690853e-004	2.199989e-001	-2.510746e+000
6.511019466690853e-004	2.198682e-001	-2.492339e+000
6.521019466690853e-004	2.195205e-001	-2.470444e+000
6.531019466690854e-004	2.189562e-001	-2.445118e+000
6.541019466690854e-004	2.181758e-001	-2.416427e+000
6.551019466690854e-004	2.171801e-001	-2.384440e+000
6.561019466690854e-004	2.159701e-001	-2.349237e+000
6.571019466690855e-004	2.145469e-001	-2.310902e+000
6.581019466690855e-004	2.129120e-001	-2.269526e+000
6.591019466690855e-004	2.110669e-001	-2.225206e+000
6.601019466690855e-004	2.090136e-001	-2.178045e+000
6.611019466690856e-004	2.067540e-001	-2.128149e+000
6.621019466690856e-004	2.042904e-001	-2.075631e+000
6.631019466690843e-004	2.016252e-001	-2.020608e+000
6.641019466690843e-004	1.987609e-001	-1.963202e+000
6.651019466690844e-004	1.957005e-001	-1.903536e+000
6.661019466690844e-004	1.924470e-001	-1.841741e+000
6.671019466690844e-004	1.890036e-001	-1.777946e+000
6.681019466690844e-004	1.853736e-001	-1.712285e+000
6.691019466690845e-004	1.815607e-001	-1.644895e+000
6.701019466690845e-004	1.775687e-001	-1.575914e+000
6.711019466690845e-004	1.734014e-001	-1.505480e+000
6.721019466690845e-004	1.690629e-001	-1.433735e+000
6.731019466690846e-004	1.645576e-001	-1.360819e+000
6.741019466690846e-004	1.598899e-001	-1.286873e+000
6.751019466690846e-004	1.550645e-001	-1.212040e+000
6.761019466690846e-004	1.500860e-001	-1.136458e+000
6.771019466690846e-004	1.449593e-001	-1.060269e+000
6.781019466690847e-004	1.396897e-001	-9.836102e-001
6.791019466690847e-004	1.342821e-001	-9.066191e-001
6.801019466690847e-004	1.287421e-001	-8.294307e-001
6.811019466690847e-004	1.230749e-001	-7.521778e-001
6.821019466690848e-004	1.172864e-001	-6.749907e-001
6.831019466690848e-004	1.113821e-001	-5.979967e-001
6.841019466690848e-004	1.053678e-001	-5.213198e-001
6.851019466690848e-004	9.924959e-002	-4.450808e-001
6.861019466690849e-004	9.303342e-002	-3.693967e-001
6.871019466690849e-004	8.672544e-002	-2.943805e-001
6.881019466690840e-004	8.033186e-002	-2.201410e-001
6.891019466690841e-004	7.385901e-002	-1.467824e-001
6.901019466690841e-004	6.731327e-002	-7.440439e-002
6.911019466690841e-004	6.070110e-002	-3.101906e-003
6.921019466690841e-004	5.402903e-002	6.703523e-002
6.931019466690842e-004	4.730363e-002	1.359223e-001
6.941019466690842e-004	4.053155e-002	2.034800e-001
6.951019466690842e-004	3.371948e-002	2.696342e-001
6.961019466690842e-004	2.687412e-002	3.343164e-001
6.971019466690843e-004	2.000225e-002	3.974638e-001
6.981019466690843e-004	1.311063e-002	4.590190e-001
6.991019466690843e-004	6.206076e-003	5.189304e-001
7.001019466690843e-004	-7.046036e-004	5.771523e-001
7.011019466690844e-004	-7.614587e-003	6.336442e-001
7.021019466690844e-004	-1.451706e-002	6.883718e-001
7.031019466690844e-004	-2.140520e-002	7.413063e-001
7.041019466690844e-004	-2.827222e-002	7.924244e-001
7.051019466690845e-004	-3.511133e-002	8.417084e-001
7.061019466690845e-004	-4.191580e-002	8.891461e-001
7.071019466690845e-004	-4.867890e-002	9.347305e-001
7.081019466690845e-004	-5.539396e-002	9.784600e-001
7.091019466690846e-004	-6.205435e-002	1.020338e+000
7.101019466690846e-004	-6.865351e-002	1.060373e+000
7.111019466690846e-004	-7.518491e-002	1.098578e+000
7.121019466690846e-004	-8.164211e-002	1.134970e+000
7.131019466690840e-004	-8.801874e-002	1.169572e+000
7.141019466690840e-004	-9.430851e-002	1.202410e+000
7.151019466690841e-004	-1.005052e-001	1.233513e+000
7.161019466690841e-004	-1.066027e-001	1.262916e+000
7.171019466690841e-004	-1.125950e-001	1.290656e+000
7.181019466690841e-004	-1.184762e-001	1.316773e+000
7.191019466690842e-004	-1.242405e-001	1.341310e+000
7.201019466690842e-004	-1.298821e-001	1.364313e+000
7.211019466690842e-004	-1.353956e-001	1.385831e+000
7.221019466690842e-004	-1.407755e-001	1.405912e+000
7.231019466690842e-004	-1.460164e-001	1.424610e+000
7.241019466690843e-004	-1.511132e-001	1.441978e+000
7.251019466690843e-004	-1.560609e-001	1.458069e+000
7.261019466690843e-004	-1.608546e-001	1.472940e+000
7.271019466690843e-004	-1.654896e-001	1.486644e+000
7.281019466690844e-004	-1.699612e-001	1.499239e+000
7.291019466690844e-004	-1.742651e-001	1.510780e+000
7.301019466690844e-004	-1.783970e-001	1.521321e+000
7.311019466690844e-004	-1.823528e-001	1.530916e+000
7.321019466690845e-004	-1.861287e-001	1.539620e+000
7.331019466690845e-004	-1.897209e-001	1.547483e+000
7.341019466690845e-004	-1.931259e-001	1.554555e+000
7.351019466690845e-004	-1.963403e-001	1.560885e+000
7.361019466690846e-004	-1.993609e-001	1.566517e+000
7.371019466690846e-004	-2.021848e-001	1.571495e+000
7.381019466690840e-004	-2.048092e-001	1.575860e+000
7.391019466690840e-004	-2.072314e-001	1.579647e+000
7.401019466690840e-004	-2.094491e-001	1.582892e+000
7.411019466690840e-004	-2.114601e-001	1.585625e+000
7.421019466690841e-004	-2.132624e-001	1.587872e+000
7.431019466690841e-004	-2.148543e-001	1.589657e+000
7.441019466690841e-004	-2.162341e-001	1.590998e+000
7.451019466690841e-004	-2.174006e-001	1.591910e+000
7.461019466690842e-004	-2.183524e-001	1.592404e+000
