time	V(g1)	V(out)
2.651019481991650e-004	-8.127655e-003	9.034441e-002
2.661019481991651e-004	-8.477429e-003	9.371340e-002
2.671019481991651e-004	-8.793746e-003	9.672415e-002
2.681019481991651e-004	-9.075359e-003	9.936576e-002
2.691019481991651e-004	-9.321154e-003	1.016287e-001
2.701019481991652e-004	-9.530164e-003	1.035049e-001
2.711019481991652e-004	-9.701563e-003	1.049875e-001
2.721019481991652e-004	-9.834674e-003	1.060711e-001
2.731019481991652e-004	-9.928972e-003	1.067519e-001
2.741019481991653e-004	-9.984084e-003	1.070274e-001
2.751019481991653e-004	-9.999795e-003	1.068965e-001
2.761019481991653e-004	-9.976041e-003	1.063596e-001
2.771019481991653e-004	-9.912916e-003	1.054185e-001
2.781019481991653e-004	-9.810668e-003	1.040765e-001
2.791019481991654e-004	-9.669703e-003	1.023383e-001
2.801019481991654e-004	-9.490576e-003	1.002100e-001
2.811019481991654e-004	-9.273994e-003	9.769922e-002
2.821019481991654e-004	-9.020811e-003	9.481481e-002
2.831019481991655e-004	-8.732028e-003	9.156711e-002
2.841019481991655e-004	-8.408783e-003	8.796775e-002
2.851019481991655e-004	-8.052353e-003	8.402969e-002
2.861019481991655e-004	-7.664144e-003	7.976720e-002
2.871019481991656e-004	-7.245688e-003	7.519580e-002
2.881019472389891e-004	-6.798637e-003	7.033219e-002
2.891019472389891e-004	-6.324754e-003	6.519426e-002
2.901019472389891e-004	-5.825910e-003	5.980100e-002
2.911019472389892e-004	-5.304075e-003	5.417249e-002
2.921019472389892e-004	-4.761306e-003	4.832976e-002
2.931019472389892e-004	-4.199747e-003	4.229482e-002
2.941019472389892e-004	-3.621613e-003	3.609052e-002
2.951019472389893e-004	-3.029187e-003	2.974048e-002
2.961019472389893e-004	-2.424805e-003	2.326908e-002
2.971019472389893e-004	-1.810854e-003	1.670127e-002
2.981019472389893e-004	-1.189757e-003	1.006256e-002
2.991019472389894e-004	-5.639638e-004	3.378897e-003
3.001019472389894e-004	6.405490e-005	-3.323451e-003
3.011019472389894e-004	6.918208e-004	-1.001796e-002
3.021019472389894e-004	1.316856e-003	-1.667800e-002
3.031019472389895e-004	1.936695e-003	-2.327688e-002
3.041019472389895e-004	2.548890e-003	-2.978804e-002
3.051019472389895e-004	3.151026e-003	-3.618511e-002
3.061019472389895e-004	3.740727e-003	-4.244203e-002
3.071019472389896e-004	4.315664e-003	-4.853320e-002
3.081019472389896e-004	4.873570e-003	-5.443354e-002
3.091019472389896e-004	5.412241e-003	-6.011866e-002
3.101019472389896e-004	5.929553e-003	-6.556495e-002
3.111019472389897e-004	6.423464e-003	-7.074969e-002
3.121019472389897e-004	6.892025e-003	-7.565116e-002
3.131019468813550e-004	7.333385e-003	-8.024875e-002
3.141019468813550e-004	7.745804e-003	-8.452307e-002
3.151019468813550e-004	8.127654e-003	-8.845605e-002
3.161019468813551e-004	8.477428e-003	-9.203097e-002
3.171019468813551e-004	8.793745e-003	-9.523264e-002
3.181019468813551e-004	9.075359e-003	-9.804742e-002
3.191019468813551e-004	9.321154e-003	-1.004633e-001
3.201019468813552e-004	9.530164e-003	-1.024700e-001
3.211019468813552e-004	9.701563e-003	-1.040588e-001
3.221019468813552e-004	9.834673e-003	-1.052231e-001
3.231019468813552e-004	9.928972e-003	-1.059579e-001
3.241019468813553e-004	9.984084e-003	-1.062600e-001
3.251019468813553e-004	9.999795e-003	-1.061282e-001
3.261019468813553e-004	9.976041e-003	-1.055633e-001
3.271019468813553e-004	9.912916e-003	-1.045676e-001
3.281019468813554e-004	9.810668e-003	-1.031456e-001
3.291019468813554e-004	9.669703e-003	-1.013035e-001
3.301019468813554e-004	9.490576e-003	-9.904917e-002
3.311019468813554e-004	9.273994e-003	-9.639247e-002
3.321019468813555e-004	9.020812e-003	-9.334483e-002
3.331019468813555e-004	8.732028e-003	-8.991934e-002
3.341019468813555e-004	8.408784e-003	-8.613069e-002
3.351019468813555e-004	8.052354e-003	-8.199506e-002
3.361019468813556e-004	7.664145e-003	-7.753003e-002
3.371019468813556e-004	7.245688e-003	-7.275452e-002
3.381019467481479e-004	6.798637e-003	-6.768870e-002
3.391019467481479e-004	6.324754e-003	-6.235384e-002
3.401019467481480e-004	5.825911e-003	-5.677228e-002
3.411019467481480e-004	5.304075e-003	-5.096724e-002
3.421019467481480e-004	4.761307e-003	-4.496277e-002
3.431019467481480e-004	4.199747e-003	-3.878364e-002
3.441019467481481e-004	3.621614e-003	-3.245518e-002
3.451019467481481e-004	3.029187e-003	-2.600319e-002
3.461019467481481e-004	2.424806e-003	-1.945383e-002
3.471019467481481e-004	1.810855e-003	-1.283351e-002
3.481019467481482e-004	1.189757e-003	-6.168772e-003
3.491019467481482e-004	5.639641e-004	5.138406e-004
3.501019467481482e-004	-6.405459e-005	7.187860e-003
3.511019467481482e-004	-6.918205e-004	1.382702e-002
3.521019467481483e-004	-1.316856e-003	2.040534e-002
3.531019467481483e-004	-1.936695e-003	2.689726e-002
3.541019467481483e-004	-2.548890e-003	3.327768e-002
3.551019467481483e-004	-3.151026e-003	3.952209e-002
3.561019467481484e-004	-3.740727e-003	4.560667e-002
3.571019467481484e-004	-4.315664e-003	5.150832e-002
3.581019467481484e-004	-4.873570e-003	5.720476e-002
3.591019467481484e-004	-5.412241e-003	6.267464e-002
3.601019467481485e-004	-5.929553e-003	6.789753e-002
3.611019467481485e-004	-6.423464e-003	7.285405e-002
3.621019467481485e-004	-6.892025e-003	7.752589e-002
3.631019466985326e-004	-7.333385e-003	8.189587e-002
3.641019466985326e-004	-7.745804e-003	8.594801e-002
3.651019466985327e-004	-8.127654e-003	8.966753e-002
3.661019466985327e-004	-8.477428e-003	9.304091e-002
3.671019466985327e-004	-8.793745e-003	9.605595e-002
3.681019466985327e-004	-9.075358e-003	9.870177e-002
3.691019466985328e-004	-9.321154e-003	1.009688e-001
3.701019466985328e-004	-9.530164e-003	1.028489e-001
3.711019466985328e-004	-9.701563e-003	1.043354e-001
3.721019466985328e-004	-9.834673e-003	1.054228e-001
3.731019466985329e-004	-9.928972e-003	1.061073e-001
3.741019466985329e-004	-9.984084e-003	1.063863e-001
3.751019466985329e-004	-9.999795e-003	1.062588e-001
3.761019466985329e-004	-9.976041e-003	1.057252e-001
3.771019466985330e-004	-9.912916e-003	1.047874e-001
3.781019466985330e-004	-9.810668e-003	1.034485e-001
3.791019466985330e-004	-9.669703e-003	1.017134e-001
3.801019466985330e-004	-9.490576e-003	9.958811e-002
3.811019466985331e-004	-9.273994e-003	9.708019e-002
3.821019466985331e-004	-9.020812e-003	9.419858e-002
3.831019466985331e-004	-8.732028e-003	9.095358e-002
3.841019466985331e-004	-8.408784e-003	8.735685e-002
3.851019466985332e-004	-8.052354e-003	8.342136e-002
3.861019466985332e-004	-7.664145e-003	7.916138e-002
3.871019466985332e-004	-7.245688e-003	7.459240e-002
3.881019466800526e-004	-6.798637e-003	6.973117e-002
3.891019466800526e-004	-6.324754e-003	6.459556e-002
3.901019466800526e-004	-5.825911e-003	5.920458e-002
3.911019466800526e-004	-5.304075e-003	5.357829e-002
3.921019466800527e-004	-4.761307e-003	4.773776e-002
