#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
2.13E-04,-0.420
2.13E-04,-0.440
2.13E-04,-0.480
2.13E-04,-0.440
2.13E-04,-0.460
2.14E-04,-0.500
2.14E-04,-0.480
2.14E-04,-0.520
2.14E-04,-0.540
2.14E-04,-0.540
2.15E-04,-0.540
2.15E-04,-0.580
2.15E-04,-0.540
2.15E-04,-0.600
2.15E-04,-0.580
2.16E-04,-0.600
2.16E-04,-0.660
2.16E-04,-0.660
2.16E-04,-0.640
2.16E-04,-0.680
2.17E-04,-0.700
2.17E-04,-0.680
2.17E-04,-0.660
2.17E-04,-0.700
2.17E-04,-0.720
2.18E-04,-0.700
2.18E-04,-0.740
2.18E-04,-0.740
2.18E-04,-0.760
2.18E-04,-0.740
2.19E-04,-0.800
2.19E-04,-0.760
2.19E-04,-0.800
2.19E-04,-0.800
2.19E-04,-0.820
2.20E-04,-0.800
2.20E-04,-0.880
2.20E-04,-0.840
2.20E-04,-0.920
2.20E-04,-0.860
2.21E-04,-0.880
2.21E-04,-0.880
2.21E-04,-0.880
2.21E-04,-0.940
2.21E-04,-0.920
2.22E-04,-0.940
2.22E-04,-0.940
2.22E-04,-0.980
2.22E-04,-0.980
2.22E-04,-1.000
2.23E-04,-1.000
2.23E-04,-0.980
2.23E-04,-0.980
2.23E-04,-1.020
2.23E-04,-1.040
2.24E-04,-1.000
2.24E-04,-1.060
2.24E-04,-1.020
2.24E-04,-1.100
2.24E-04,-1.100
2.25E-04,-1.080
2.25E-04,-1.100
2.25E-04,-1.100
2.25E-04,-1.080
2.25E-04,-1.120
2.26E-04,-1.100
2.26E-04,-1.160
2.26E-04,-1.160
2.26E-04,-1.140
2.26E-04,-1.200
2.27E-04,-1.160
2.27E-04,-1.180
2.27E-04,-1.200
2.27E-04,-1.180
2.27E-04,-1.200
2.28E-04,-1.240
2.28E-04,-1.200
2.28E-04,-1.260
2.28E-04,-1.260
2.28E-04,-1.300
2.29E-04,-1.240
2.29E-04,-1.260
2.29E-04,-1.260
2.29E-04,-1.260
2.29E-04,-1.320
2.30E-04,-1.280
2.30E-04,-1.300
2.30E-04,-1.300
2.30E-04,-1.280
2.30E-04,-1.320
2.31E-04,-1.360
2.31E-04,-1.320
2.31E-04,-1.340
2.31E-04,-1.340
2.31E-04,-1.360
2.32E-04,-1.400
2.32E-04,-1.340
2.32E-04,-1.420
2.32E-04,-1.340
2.32E-04,-1.380
2.33E-04,-1.420
2.33E-04,-1.380
2.33E-04,-1.440
2.33E-04,-1.420
2.33E-04,-1.400
2.34E-04,-1.440
2.34E-04,-1.460
2.34E-04,-1.440
2.34E-04,-1.460
2.34E-04,-1.400
2.35E-04,-1.480
2.35E-04,-1.420
2.35E-04,-1.480
2.35E-04,-1.440
2.35E-04,-1.480
2.36E-04,-1.520
2.36E-04,-1.480
2.36E-04,-1.500
2.36E-04,-1.480
2.36E-04,-1.480
2.37E-04,-1.520
2.37E-04,-1.500
2.37E-04,-1.500
2.37E-04,-1.520
2.37E-04,-1.480
2.38E-04,-1.560
2.38E-04,-1.480
2.38E-04,-1.520
2.38E-04,-1.540
2.38E-04,-1.500
2.39E-04,-1.580
2.39E-04,-1.560
2.39E-04,-1.560
2.39E-04,-1.560
2.39E-04,-1.560
2.40E-04,-1.560
2.40E-04,-1.600
2.40E-04,-1.600
2.40E-04,-1.600
2.40E-04,-1.600
2.41E-04,-1.580
