#timebase=40000000(ps)
,#voltbase=100000(uV)
#size=4164
1.57E-04,1.380
1.57E-04,1.400
1.58E-04,1.420
1.58E-04,1.400
1.58E-04,1.380
1.58E-04,1.400
1.58E-04,1.420
1.59E-04,1.380
1.59E-04,1.380
1.59E-04,1.400
1.59E-04,1.400
1.59E-04,1.380
1.60E-04,1.400
1.60E-04,1.400
1.60E-04,1.380
1.60E-04,1.400
1.60E-04,1.380
1.61E-04,1.400
1.61E-04,1.380
1.61E-04,1.340
1.61E-04,1.360
1.61E-04,1.360
1.62E-04,1.360
1.62E-04,1.360
1.62E-04,1.360
1.62E-04,1.380
1.62E-04,1.340
1.63E-04,1.400
1.63E-04,1.400
1.63E-04,1.380
1.63E-04,1.360
1.63E-04,1.320
1.64E-04,1.340
1.64E-04,1.340
1.64E-04,1.360
1.64E-04,1.340
1.64E-04,1.340
1.65E-04,1.380
1.65E-04,1.420
1.65E-04,1.340
1.65E-04,1.360
1.65E-04,1.340
1.66E-04,1.340
1.66E-04,1.340
1.66E-04,1.360
1.66E-04,1.380
1.66E-04,1.380
1.67E-04,1.340
1.67E-04,1.360
1.67E-04,1.360
1.67E-04,1.340
1.67E-04,1.320
1.68E-04,1.340
1.68E-04,1.360
1.68E-04,1.360
1.68E-04,1.360
1.68E-04,1.360
1.69E-04,1.320
1.69E-04,1.340
1.69E-04,1.320
1.69E-04,1.360
1.69E-04,1.340
1.70E-04,1.340
1.70E-04,1.340
1.70E-04,1.340
1.70E-04,1.320
1.70E-04,1.360
1.71E-04,1.320
1.71E-04,1.300
1.71E-04,1.320
1.71E-04,1.340
1.71E-04,1.300
1.72E-04,1.340
1.72E-04,1.300
1.72E-04,1.340
1.72E-04,1.300
1.72E-04,1.320
1.73E-04,1.320
1.73E-04,1.340
1.73E-04,1.340
1.73E-04,1.300
1.73E-04,1.300
1.74E-04,1.260
1.74E-04,1.280
1.74E-04,1.280
1.74E-04,1.280
1.74E-04,1.280
1.75E-04,1.260
1.75E-04,1.280
1.75E-04,1.300
1.75E-04,1.260
1.75E-04,1.260
1.76E-04,1.260
1.76E-04,1.280
1.76E-04,1.260
1.76E-04,1.240
1.76E-04,1.260
1.77E-04,1.280
1.77E-04,1.280
1.77E-04,1.260
1.77E-04,1.260
1.77E-04,1.260
1.78E-04,1.260
1.78E-04,1.200
1.78E-04,1.220
1.78E-04,1.240
1.78E-04,1.220
1.79E-04,1.220
1.79E-04,1.200
1.79E-04,1.220
1.79E-04,1.240
1.79E-04,1.200
1.80E-04,1.220
1.80E-04,1.200
1.80E-04,1.200
1.80E-04,1.180
1.80E-04,1.200
1.81E-04,1.180
1.81E-04,1.200
1.81E-04,1.180
1.81E-04,1.180
1.81E-04,1.160
1.82E-04,1.120
1.82E-04,1.160
1.82E-04,1.160
1.82E-04,1.180
1.82E-04,1.180
1.83E-04,1.180
1.83E-04,1.140
1.83E-04,1.160
1.83E-04,1.120
1.83E-04,1.120
1.84E-04,1.120
1.84E-04,1.120
1.84E-04,1.100
1.84E-04,1.100
1.84E-04,1.080
1.85E-04,1.080
1.85E-04,1.080
1.85E-04,1.080
1.85E-04,1.080
1.85E-04,1.060
1.86E-04,1.040
1.86E-04,1.060
1.86E-04,1.040
1.86E-04,1.040
1.86E-04,1.040
1.87E-04,1.020
1.87E-04,1.060
1.87E-04,1.040
1.87E-04,0.980
1.87E-04,0.980
1.88E-04,0.960
1.88E-04,1.000
1.88E-04,0.980
1.88E-04,0.940
1.88E-04,0.960
1.89E-04,0.960
1.89E-04,0.940
1.89E-04,0.920
1.89E-04,0.920
1.89E-04,0.940
1.90E-04,0.920
1.90E-04,0.900
1.90E-04,0.920
1.90E-04,0.900
1.90E-04,0.880
1.91E-04,0.860
1.91E-04,0.880
1.91E-04,0.900
1.91E-04,0.840
1.91E-04,0.840
1.92E-04,0.840
1.92E-04,0.840
1.92E-04,0.800
1.92E-04,0.800
1.92E-04,0.800
1.93E-04,0.780
1.93E-04,0.800
1.93E-04,0.780
1.93E-04,0.760
1.93E-04,0.800
1.94E-04,0.760
1.94E-04,0.760
1.94E-04,0.760
1.94E-04,0.740
1.94E-04,0.740
1.95E-04,0.680
1.95E-04,0.680
1.95E-04,0.720
1.95E-04,0.700
1.95E-04,0.660
1.96E-04,0.680
1.96E-04,0.660
1.96E-04,0.620
1.96E-04,0.640
1.96E-04,0.640
1.97E-04,0.620
1.97E-04,0.580
1.97E-04,0.580
1.97E-04,0.560
1.97E-04,0.580
1.98E-04,0.560
1.98E-04,0.560
1.98E-04,0.540
1.98E-04,0.560
1.98E-04,0.540
1.99E-04,0.500
1.99E-04,0.500
1.99E-04,0.480
1.99E-04,0.460
1.99E-04,0.500
2.00E-04,0.460
2.00E-04,0.460
2.00E-04,0.460
2.00E-04,0.400
2.00E-04,0.380
2.01E-04,0.400
2.01E-04,0.380
2.01E-04,0.400
2.01E-04,0.340
2.01E-04,0.320
2.02E-04,0.340
2.02E-04,0.320
2.02E-04,0.340
2.02E-04,0.320
2.02E-04,0.280
2.03E-04,0.240
2.03E-04,0.260
2.03E-04,0.220
2.03E-04,0.260
2.03E-04,0.220
2.04E-04,0.220
2.04E-04,0.220
2.04E-04,0.160
2.04E-04,0.160
2.04E-04,0.140
2.05E-04,0.120
2.05E-04,0.120
2.05E-04,0.120
2.05E-04,0.140
2.05E-04,0.100
2.06E-04,0.100
2.06E-04,0.060
2.06E-04,0.060
2.06E-04,0.060
2.06E-04,0.020
2.07E-04,0.020
2.07E-04,0.000
2.07E-04,0.000
2.07E-04,-0.060
2.07E-04,-0.020
2.08E-04,-0.040
2.08E-04,-0.060
2.08E-04,-0.080
2.08E-04,-0.100
2.08E-04,-0.120
2.09E-04,-0.120
2.09E-04,-0.100
2.09E-04,-0.140
2.09E-04,-0.200
2.09E-04,-0.180
2.10E-04,-0.160
2.10E-04,-0.220
2.10E-04,-0.200
2.10E-04,-0.240
2.10E-04,-0.280
2.11E-04,-0.220
2.11E-04,-0.280
2.11E-04,-0.240
2.11E-04,-0.300
2.11E-04,-0.340
2.12E-04,-0.340
2.12E-04,-0.340
2.12E-04,-0.340
2.12E-04,-0.380
2.12E-04,-0.360
2.13E-04,-0.360
2.13E-04,-0.380
2.13E-04,-0.380
2.13E-04,-0.440
2.13E-04,-0.440
2.14E-04,-0.460
2.14E-04,-0.460
2.14E-04,-0.480
2.14E-04,-0.520
2.14E-04,-0.480
2.15E-04,-0.520
2.15E-04,-0.560
2.15E-04,-0.560
2.15E-04,-0.540
2.15E-04,-0.600
2.16E-04,-0.600
2.16E-04,-0.600
2.16E-04,-0.620
2.16E-04,-0.620
2.16E-04,-0.680
2.17E-04,-0.680
2.17E-04,-0.720
2.17E-04,-0.680
2.17E-04,-0.700
2.17E-04,-0.700
2.18E-04,-0.740
2.18E-04,-0.760
2.18E-04,-0.700
2.18E-04,-0.760
2.18E-04,-0.760
2.19E-04,-0.780
